Time (s); Distance (mm); Speed (mm/s); Z-Angle (mdps); Distance corrected (mm); Target Speed; PWM Value
7.61278; 1638.34059; 1909.94866; -150.74759; 1616.34944; 1916.16821;   598
7.61840; 1649.33617; 1983.32872; -147.72899; 1627.34502; 1921.41934;   499
7.62401; 1660.33174; 1925.66978; -155.13766; 1638.34059; 1888.86186;   609
7.62998; 1671.32732; 1859.55935; -160.98244; 1649.33617; 1854.25544;   644
7.63595; 1682.32289; 1875.41778; -159.00998; 1660.33174; 1865.72064;   566
7.64228; 1693.31847; 1744.77538; -169.21599; 1671.32732; 1808.58160;   756
7.64788; 1704.31404; 1877.98026; -153.82158; 1682.32289; 1896.92505;   476
7.65385; 1715.30961; 1859.24492; -153.96447; 1693.31847; 1896.04466;   637
7.65982; 1726.30519; 1880.87144; -150.03093; 1704.31404; 1920.73922;   602
7.66543; 1737.30076; 1936.52245; -143.36983; 1715.30961; 1931.48255;   558
7.67140; 1748.29634; 1877.98026; -147.12623; 1726.30519; 1939.60710;   667
7.67739; 1759.29191; 1824.08335; -151.09686; 1737.30076; 1913.95220;   728
7.68336; 1770.28749; 1860.50329; -147.17968; 1748.29634; 1892.58277;   636
7.68933; 1781.28306; 1758.44786; -158.09761; 1759.29191; 1871.09640;   764
7.69530; 1792.27864; 1893.50344; -147.65297; 1770.28749; 1936.14431;   528
7.70127; 1803.27421; 1873.18134; -149.33426; 1781.28306; 1912.58326;   666
7.70688; 1814.26978; 1885.06334; -145.28996; 1792.27864; 1904.17796;   620
7.71249; 1825.26536; 1937.54616; -136.72101; 1803.27421; 1895.15338;   544
7.71848; 1836.26093; 1884.74022; -139.87844; 1814.26978; 1884.32803;   624
7.72446; 1847.25651; 1830.46020; -144.03353; 1825.26536; 1906.87188;   669
7.73044; 1858.25208; 1859.55935; -148.47074; 1836.26093; 1851.89297;   635
7.73677; 1869.24766; 1770.90908; -160.41169; 1847.25651; 1857.55123;   707
7.74238; 1880.24323; 1927.01971; -148.47222; 1858.25208; 1898.82842;   472
7.74799; 1891.23881; 1895.78870; -153.49358; 1869.24766; 1898.95075;   611
7.75393; 1902.23438; 1921.29555; -151.23950; 1880.24323; 1908.10685;   566
7.75954; 1913.22995; 1973.36225; -148.25118; 1891.23881; 1885.43475;   513
7.76515; 1924.22553; 1918.61358; -153.27971; 1902.23438; 1881.80418;   583
7.77113; 1935.22110; 1870.95022; -155.50796; 1913.22995; 1886.61161;   623
7.77674; 1946.21668; 1890.57332; -153.02839; 1924.22553; 1849.75337;   586
7.78307; 1957.21225; 1775.19768; -161.89227; 1935.22110; 1849.03768;   708
7.78868; 1968.20783; 1927.01971; -148.25654; 1946.21668; 1905.56186;   464
7.79465; 1979.20340; 1879.90673; -151.61831; 1957.21225; 1910.65815;   638
7.80064; 1990.19898; 1872.54333; -149.50430; 1968.20783; 1924.11921;   638
7.80626; 2001.19455; 1944.39866; -141.23205; 1979.20340; 1892.08202;   551
7.81187; 2012.19012; 1894.48216; -141.66016; 1990.19898; 1880.93318;   612
7.81784; 2023.18570; 1824.99161; -143.03156; 2001.19455; 1967.17444;   677
7.82382; 2034.18127; 1826.81084; -139.70872; 2012.19012; 1834.50246;   738
7.83015; 2045.17685; 1747.54839; -143.19641; 2012.19012; 1966.04182;   711
7.83612; 2056.17242; 1928.70978; -127.29178; 2034.18127; 1919.70943;   576
7.84173; 2067.16800; 1872.86228; -131.24638; 2034.18127; 1919.70943;   666
7.84770; 2078.16357; 1906.63680; -130.11695; 2034.18127; 1919.70943;   601
7.85331; 2089.15915; 1980.47090; -127.17027; 2045.17685; 1952.10971;   512
7.85892; 2100.15472; 1935.49982; -132.38998; 2056.17242; 2044.70783;   632
7.86489; 2111.15029; 1860.18854; -138.92350; 2067.16800; 1996.04789;   810
7.87050; 2122.14587; 1914.27132; -137.25661; 2078.16357; 2008.13161;   664
7.87647; 2133.14144; 1830.46020; -146.37584; 2089.15915; 1944.57238;   808
7.88208; 2144.13702; 1989.78908; -137.38147; 2089.15915; 2007.21887;   500
7.88769; 2155.13259; 1978.68894; -142.64503; 2100.15472; 1969.83788;   635
7.89294; 2166.12817; 1991.95189; -144.70644; 2111.15029; 1955.75693;   575
7.89854; 2177.12374; 2036.59464; -143.25729; 2111.15029; 1965.62402;   505
7.90415; 2188.11932; 1981.18459; -151.19245; 2111.15029; 1913.34709;   606
7.90976; 2199.11489; 1932.43839; -157.10502; 2122.14587; 1876.99787;   600
7.91538; 2210.11046; 1944.74256; -156.20102; 2133.14144; 1882.42151;   529
7.92135; 2221.10604; 1793.73156; -161.90732; 2144.13702; 1848.95170;   741
7.92733; 2232.10161; 1949.22433; -132.75513; 2144.13702; 2041.89385;   449
7.93294; 2243.09719; 1880.87144; -109.68561; 2155.13259; 2246.38397;   787
7.93891; 2254.09276; 1881.83715; -65.04323; 2166.12817; 2515.59566;   969
7.94452; 2265.08834; 1964.89894; -18.40338; 2177.12374; 1661.86991;  1023
7.95014; 2276.08391; 1952.68593; 20.57607; 2177.12374; 2351.00391;   319
7.95538; 2287.07949; 2035.84048; 54.83293; 2188.11932; 1603.85254;   891
7.96172; 2298.07506; 1808.78014; 86.19648; 2199.11489; 2106.84607;   473
7.96804; 2309.07063; 1698.42052; 109.39346; 2210.11046; 2249.38156;  1023
7.97438; 2320.06621; 1743.94519; 122.92200; 2221.10604; 2121.99331;  1023
7.97999; 2331.06178; 1904.32533; 119.77200; 2243.09719; 1661.86991;   775
7.98523; 2342.05736; 2110.06994; 115.50588; 2243.09719; 1552.40164;   133
7.99048; 2353.05293; 2088.03161; 129.75970; 2254.09276; 1552.40164;   217
7.99789; 2364.04851; 1534.83730; 196.48734; 2276.08391; 1678.38475;   776
8.00495; 2375.04408; 1492.94969; 220.69346; 2276.08391; 1583.66780;   808
8.01128; 2386.03966; 1807.88794; 194.08413; 2298.07506; 1688.74395;   285
8.01761; 2397.03523; 1672.07641; 219.90090; 2309.07063; 1586.51913;   669
8.02465; 2408.03080; 1609.89377; 235.73479; 2320.06621; 1532.31118;   603
8.03099; 2419.02638; 1697.89599; 229.85793; 2331.06178; 1551.77615;   414
8.03769; 2430.02195; 1653.22124; 237.11994; 2342.05736; 1527.82908;   519
8.04510; 2441.01753; 1500.07837; 257.10147; 2353.05293; 1467.25817;   676
8.05177; 2452.01310; 1624.88170; 231.65677; 2364.04851; 1545.73952;   411
8.05883; 2463.00868; 1535.26591; 239.12623; 2375.04408; 1521.40628;   642
8.06697; 2474.00425; 1390.78857; 260.03178; 2386.03966; 1458.96744;   773
8.07438; 2484.99983; 1448.88318; 242.13812; 2397.03523; 1511.91449;   602
8.08104; 2495.99540; 1704.21179; 197.60959; 2408.03080; 1673.61207;   337
8.08845; 2506.99097; 1491.53207; 215.92846; 2419.02638; 1601.04621;   847
8.09623; 2517.98655; 1378.06422; 223.14851; 2430.02195; 1574.93204;   862
8.10256; 2528.98212; 1750.33022; 170.80947; 2441.01753; 1552.40164;   315
8.10925; 2539.97770; 1683.33963; 173.65916; 2452.01310; 1552.40164;   496
8.11848; 2550.97327; 1163.30665; 250.31220; 2463.00868; 1487.02340;  1023
8.12734; 2561.96885; 1236.29126; 235.08910; 2474.00425; 1534.41405;   848
8.13477; 2572.96442; 1480.48666; 197.18759; 2484.99983; 1609.59069;   603
8.14146; 2583.96000; 1700.52188; 172.14376; 2495.99540; 1667.55520;   457
8.14815; 2594.95557; 1576.42644; 186.53295; 2506.99097; 1722.58648;   743
8.15529; 2605.95114; 1603.32086; 184.22535; 2517.98655; 1733.34142;   727
8.16162; 2616.94672; 1745.88353; 168.75867; 2528.98212; 1568.14523;   558
8.16795; 2627.94229; 1714.84318; 173.66302; 2539.97770; 1568.14523;   478
8.17502; 2638.93787; 1535.48030; 194.34219; 2550.97327; 1687.62236;   698
8.18352; 2649.93344; 1314.47393; 225.61628; 2561.96885; 1566.29511;  1023
8.19057; 2660.92902; 1504.80012; 195.74018; 2572.96442; 1627.30825;   627
8.19655; 2671.92459; 1856.10642; 157.12722; 2583.96000; 1580.99466;   271
8.20357; 2682.92017; 1604.25656; 182.38073; 2594.95557; 1628.40074;   666
8.21171; 2693.91574; 1357.81359; 215.64068; 2594.95557; 1602.11418;   951
8.21841; 2704.91131; 1600.52030; 180.93404; 2616.94672; 1621.24972;   549
8.22583; 2715.90689; 1498.23879; 189.96586; 2627.94229; 1580.99466;   772
8.23293; 2726.90246; 1518.93555; 181.02634; 2638.93787; 1681.25017;   678
8.23963; 2737.89804; 1630.90692; 166.49201; 2649.93344; 1681.25017;   639
8.24705; 2748.89361; 1536.76792; 179.42680; 2649.93344; 1756.36655;   793
8.25339; 2759.88919; 1667.25920; 169.97835; 2660.92902; 1648.34262;   672
8.26008; 2770.88476; 1706.06275; 171.96677; 2671.92459; 1691.39889;   554
8.26641; 2781.88034; 1738.98062; 172.44002; 2682.92017; 1683.21901;   565
8.27274; 2792.87591; 1692.40795; 178.97936; 2693.91574; 1671.71502;   628
8.27943; 2803.87148; 1647.03033; 184.78703; 2704.91131; 1641.44063;   661
8.28646; 2814.86706; 1590.10477; 188.52994; 2715.90689; 1713.43902;   691
8.29315; 2825.86263; 1637.46455; 180.85153; 2737.89804; 1636.37765;   686
8.30021; 2836.85821; 1540.21214; 193.31337; 2737.89804; 1636.37765;   749
8.30654; 2847.85378; 1714.04122; 175.91641; 2748.89361; 1649.32860;   492
8.31321; 2858.84936; 1694.23335; 182.08669; 2759.88919; 1657.14801;   585
8.31954; 2869.84493; 1712.70630; 185.72717; 2770.88476; 1638.08321;   562
8.32588; 2880.84051; 1723.17418; 186.99566; 2781.88034; 1580.31713;   535
8.33259; 2891.83608; 1681.79481; 193.93521; 2792.87591; 1580.31713;   533
8.33928; 2902.83165; 1650.98715; 198.58489; 2803.87148; 1669.49727;   560
8.34599; 2913.82723; 1622.00538; 203.26603; 2825.86263; 1621.76901;   678
8.35305; 2924.82280; 1519.35532; 217.54036; 2825.86263; 1595.10359;   754
